GeneId,GeneName
ENSG00000252259,RNA5SP49
ENSG00000200601,RNA5SP50
ENSG00000251785,RNA5SP20
ENSG00000222849,RNA5SP21
ENSG00000202263,RNA5SP22
ENSG00000212308,RNA5SP23
ENSG00000201620,RNA5SP51
ENSG00000199318,RNA5SP52
ENSG00000212601,RNA5SP53
ENSG00000252760,RNA5SP54
ENSG00000252510,RNA5SP55
ENSG00000222209,RNA5SP56
ENSG00000252830,RNA5SP533
ENSG00000276442,RNA5SP529
ENSG00000222854,RNA5SP59
ENSG00000274408,RNA5SP536
ENSG00000238765,RNA5SP57
ENSG00000222552,RNA5SP60
ENSG00000252262,RNA5SP61
ENSG00000200327,RNA5SP62
ENSG00000212527,RNA5SP63
ENSG00000207341,RNA5SP64
ENSG00000200036,RNA5SP65
ENSG00000252987,RNA5SP66
ENSG00000252231,RNA5SP67
ENSG00000200755,RNA5SP68
ENSG00000201347,RNA5SP69
ENSG00000252977,RNA5SP70
ENSG00000201312,RNA5SP72
ENSG00000252553,RNA5SP73
ENSG00000200408,RNA5SP74
ENSG00000252650,RNA5SP75
ENSG00000274059,RNA5SP534
ENSG00000252086,RNA5SP76
ENSG00000202264,RNA5SP77
ENSG00000202056,RNA5SP19
ENSG00000251823,RNA5SP162
ENSG00000199352,RNA5S1
ENSG00000201588,RNA5S2
ENSG00000199337,RNA5S3
ENSG00000200381,RNA5S4
ENSG00000199396,RNA5S5
ENSG00000200624,RNA5S6
ENSG00000202521,RNA5S7
ENSG00000200343,RNA5S8
ENSG00000201321,RNA5S9
ENSG00000199910,RNA5S10
ENSG00000199334,RNA5S11
ENSG00000199270,RNA5S12
ENSG00000202526,RNA5S13
ENSG00000201355,RNA5S14
ENSG00000201925,RNA5S15
ENSG00000202257,RNA5S16
ENSG00000200370,RNA5S17
ENSG00000212237,RNA5SP18
ENSG00000201492,RNA5SP78
ENSG00000202063,RNA5SP79
ENSG00000222407,RNA5SP80
ENSG00000252516,RNA5SP82
ENSG00000201610,RNA5SP84
ENSG00000212171,RNA5SP86
ENSG00000206882,RNA5SP87
ENSG00000202430,RNA5SP88
ENSG00000222232,RNA5SP89
ENSG00000201671,RNA5SP90
ENSG00000212204,RNA5SP91
ENSG00000252246,RNA5SP92
ENSG00000199395,RNA5SP93
ENSG00000252726,RNA5SP94
ENSG00000222251,RNA5SP95
ENSG00000251850,RNA5SP96
ENSG00000201876,RNA5SP97
ENSG00000200028,RNA5SP98
ENSG00000200890,RNA5SP99
ENSG00000222835,RNA5SP100
ENSG00000252845,RNA5SP101
ENSG00000252674,RNA5SP102
ENSG00000238379,RNA5SP103
ENSG00000202174,RNA5-8SP5
ENSG00000222921,RNA5SP104
ENSG00000212425,RNA5SP105
ENSG00000253083,RNA5SP106
ENSG00000223290,RNA5SP107
ENSG00000271924,RNA5SP108
ENSG00000212312,RNA5SP109
ENSG00000199508,RNA5SP110
ENSG00000223318,RNA5SP111
ENSG00000251746,RNA5SP112
ENSG00000222418,RNA5SP113
ENSG00000200650,RNA5SP114
ENSG00000223092,RNA5SP115
ENSG00000251941,RNA5SP116
ENSG00000202164,RNA5SP117
ENSG00000222317,RNA5SP118
ENSG00000199585,RNA5SP119
ENSG00000222832,RNA5SP120
ENSG00000252346,RNA5SP121
ENSG00000207186,RNA5SP122
ENSG00000200114,RNA5SP123
ENSG00000199609,RNA5SP124
ENSG00000201713,RNA5SP125
ENSG00000201962,RNA5SP126
ENSG00000222983,RNA5SP127
ENSG00000202175,RNA5SP128
ENSG00000222208,RNA5SP129
ENSG00000201301,RNA5SP130
ENSG00000202322,RNA5SP131
ENSG00000201595,RNA5SP132
ENSG00000200238,RNA5SP133
ENSG00000252301,RNA5SP134
ENSG00000252828,RNA5SP135
ENSG00000222838,RNA5SP136
ENSG00000252642,RNA5SP137
ENSG00000201968,RNA5SP138
ENSG00000201210,RNA5SP139
ENSG00000201394,RNA5SP140
ENSG00000201413,RNA5SP141
ENSG00000201325,RNA5SP142
ENSG00000252745,RNA5SP143
ENSG00000222778,RNA5SP144
ENSG00000199994,RNA5SP145
ENSG00000222675,RNA5SP146
ENSG00000252302,RNA5SP147
ENSG00000252336,RNA5SP148
ENSG00000201822,RNA5SP149
ENSG00000199839,RNA5SP150
ENSG00000202502,RNA5SP151
